session_id,user_id,timestamp,page_url,category,time_spent_seconds,device,referrer,clicked_cta,bounce
S000001,U00013,2025-08-02T14:55:05,/search,Discovery,260,Desktop,YouTube,Yes,No
S000002,U00045,2026-04-04T15:34:41,/checkout,Checkout,442,Desktop,Direct,Yes,No
S000003,U00288,2025-06-04T10:36:08,/home,Landing,743,Mobile,Affiliate,No,No
S000004,U00415,2025-01-06T01:08:44,/offers,Promotion,173,Mobile,Instagram,No,Yes
S000005,U00053,2025-03-14T00:54:28,/cart,Cart,399,Desktop,Instagram,No,No
S000006,U00275,2025-04-07T22:55:41,/blog/how-to-buy,Content,397,Desktop,Instagram,No,No
S000007,U00024,2026-05-29T14:50:30,/search,Discovery,243,Mobile,Direct,Yes,No
S000008,U00143,2025-12-19T04:10:50,/support,Support,660,Mobile,Google,No,No
S000009,U00360,2026-06-15T22:15:07,/offers,Promotion,673,Desktop,YouTube,Yes,No
S000010,U00084,2025-12-26T01:09:17,/product/sku-220,Product,398,Desktop,YouTube,Yes,No
S000011,U00118,2025-01-25T22:23:30,/home,Landing,333,Mobile,Direct,Yes,No
S000012,U00109,2026-05-25T02:15:44,/cart,Cart,521,Desktop,YouTube,No,Yes
S000013,U00127,2026-03-13T00:39:37,/product/sku-100,Product,561,Desktop,Affiliate,No,No
S000014,U00186,2025-06-20T08:26:06,/support,Support,151,Mobile,Direct,Yes,No
S000015,U00322,2025-05-05T06:16:50,/product/sku-100,Product,706,Mobile,Direct,No,No
S000016,U00271,2025-07-15T06:41:55,/blog/how-to-buy,Content,576,Mobile,Direct,Yes,No
S000017,U00385,2025-07-27T05:58:55,/checkout,Checkout,666,Desktop,Instagram,No,Yes
S000018,U00370,2025-07-24T13:55:39,/home,Landing,522,Mobile,Affiliate,Yes,No
S000019,U00328,2026-01-30T07:31:19,/offers,Promotion,633,Desktop,Instagram,Yes,No
S000020,U00001,2026-04-11T05:08:10,/checkout,Checkout,341,Mobile,Direct,No,No
S000021,U00123,2025-02-14T23:48:12,/offers,Promotion,256,Mobile,Direct,Yes,No
S000022,U00390,2026-02-18T18:21:45,/search,Discovery,138,Desktop,Email,Yes,No
S000023,U00109,2026-02-23T21:12:27,/support,Support,757,Mobile,YouTube,No,No
S000024,U00225,2026-02-07T00:18:46,/cart,Cart,472,Desktop,Google,Yes,No
S000025,U00118,2026-04-03T01:19:07,/checkout,Checkout,235,Desktop,YouTube,Yes,No
S000026,U00170,2025-02-25T00:52:36,/home,Landing,536,Desktop,YouTube,No,No
S000027,U00371,2026-03-20T13:00:53,/product/sku-100,Product,600,Mobile,Email,No,Yes
S000028,U00338,2025-12-01T19:22:35,/search,Discovery,372,Mobile,Email,Yes,No
S000029,U00032,2025-11-09T17:24:16,/search,Discovery,755,Desktop,Direct,Yes,Yes
S000030,U00230,2025-04-19T21:11:14,/checkout,Checkout,442,Desktop,Email,Yes,No
S000031,U00227,2026-03-04T10:48:26,/search,Discovery,110,Desktop,Affiliate,Yes,No
S000032,U00086,2025-11-12T16:06:25,/product/sku-220,Product,507,Mobile,Email,Yes,Yes
S000033,U00200,2025-07-25T23:44:35,/home,Landing,475,Desktop,YouTube,No,Yes
S000034,U00112,2025-02-15T10:12:27,/offers,Promotion,603,Mobile,Direct,No,Yes
S000035,U00258,2026-02-17T12:54:31,/blog/how-to-buy,Content,171,Desktop,Affiliate,Yes,No
S000036,U00305,2025-02-22T18:52:56,/search,Discovery,701,Mobile,Email,Yes,No
S000037,U00297,2026-04-07T18:38:25,/product/sku-220,Product,50,Mobile,Email,No,No
S000038,U00343,2025-09-02T00:48:42,/product/sku-220,Product,254,Desktop,Google,No,No
S000039,U00005,2025-12-22T23:03:40,/search,Discovery,646,Tablet,Direct,Yes,No
S000040,U00136,2025-04-13T21:10:09,/checkout,Checkout,367,Mobile,Google,No,No
S000041,U00279,2025-08-23T23:19:41,/blog/how-to-buy,Content,636,Tablet,YouTube,Yes,No
S000042,U00154,2026-05-31T06:27:43,/checkout,Checkout,116,Tablet,Google,No,Yes
S000043,U00381,2026-03-06T16:50:10,/search,Discovery,169,Desktop,Affiliate,Yes,No
S000044,U00352,2026-05-08T15:03:08,/product/sku-220,Product,280,Mobile,Instagram,Yes,Yes
S000045,U00142,2025-02-04T05:50:12,/support,Support,13,Desktop,Google,No,Yes
S000046,U00283,2025-11-29T04:39:43,/blog/how-to-buy,Content,584,Desktop,Direct,Yes,No
S000047,U00299,2026-03-06T03:48:51,/cart,Cart,161,Mobile,Direct,No,No
S000048,U00184,2025-06-13T04:06:37,/home,Landing,708,Desktop,Direct,No,No
S000049,U00318,2025-05-01T01:04:58,/support,Support,252,Mobile,Google,No,Yes
S000050,U00401,2025-11-16T18:53:22,/cart,Cart,695,Mobile,Google,No,Yes
S000051,U00196,2025-01-31T01:52:44,/search,Discovery,491,Desktop,Email,No,No
S000052,U00115,2025-01-19T09:08:13,/product/sku-220,Product,685,Desktop,Instagram,No,No
S000053,U00180,2026-05-14T06:05:10,/offers,Promotion,531,Desktop,Affiliate,No,No
S000054,U00134,2025-05-19T16:44:43,/search,Discovery,604,Tablet,Instagram,Yes,Yes
S000055,U00177,2025-09-01T15:22:08,/support,Support,456,Mobile,Affiliate,Yes,No
S000056,U00131,2025-02-04T11:25:29,/product/sku-220,Product,735,Mobile,Affiliate,Yes,No
S000057,U00341,2025-09-14T11:22:29,/search,Discovery,648,Desktop,Direct,No,No
S000058,U00168,2025-11-09T13:17:12,/support,Support,723,Desktop,Google,Yes,No
S000059,U00347,2025-05-16T04:06:17,/support,Support,640,Mobile,Email,Yes,No
S000060,U00221,2026-03-27T11:41:59,/product/sku-220,Product,631,Mobile,Email,No,No
S000061,U00262,2026-01-03T12:49:47,/product/sku-220,Product,763,Desktop,Direct,No,No
S000062,U00048,2025-07-02T10:16:04,/cart,Cart,698,Desktop,Google,Yes,Yes
S000063,U00244,2026-04-20T18:58:21,/product/sku-220,Product,84,Mobile,YouTube,Yes,No
S000064,U00254,2025-11-07T10:04:09,/support,Support,259,Desktop,YouTube,Yes,No
S000065,U00399,2025-11-27T05:17:58,/search,Discovery,234,Desktop,YouTube,No,Yes
S000066,U00063,2025-12-21T13:03:54,/product/sku-220,Product,146,Mobile,YouTube,No,No
S000067,U00314,2026-01-28T01:44:49,/blog/how-to-buy,Content,446,Mobile,Affiliate,No,No
S000068,U00231,2025-07-21T07:40:50,/blog/how-to-buy,Content,779,Desktop,YouTube,No,No
S000069,U00249,2026-05-02T19:26:15,/checkout,Checkout,254,Desktop,Direct,No,No
S000070,U00164,2026-02-24T13:10:02,/cart,Cart,92,Desktop,Google,No,No
S000071,U00033,2025-11-19T05:41:53,/product/sku-220,Product,427,Desktop,Email,No,Yes
S000072,U00200,2026-03-30T16:01:45,/support,Support,722,Desktop,Affiliate,No,No
S000073,U00153,2025-10-30T21:52:40,/cart,Cart,439,Mobile,YouTube,Yes,No
S000074,U00224,2026-01-13T05:01:22,/offers,Promotion,39,Desktop,YouTube,No,No
S000075,U00066,2026-04-29T07:42:37,/blog/how-to-buy,Content,556,Desktop,Email,Yes,Yes
S000076,U00070,2025-12-25T14:40:58,/support,Support,196,Desktop,Email,No,No
S000077,U00173,2025-10-22T11:25:29,/cart,Cart,294,Mobile,Email,No,No
S000078,U00010,2026-02-23T23:29:59,/blog/how-to-buy,Content,63,Tablet,Instagram,Yes,No
S000079,U00387,2025-01-25T02:26:27,/home,Landing,263,Desktop,Direct,Yes,No
S000080,U00343,2025-03-30T20:22:25,/blog/how-to-buy,Content,587,Tablet,Email,No,No
S000081,U00311,2026-04-17T15:54:49,/product/sku-100,Product,775,Mobile,Google,No,Yes
S000082,U00160,2026-03-24T05:37:44,/home,Landing,703,Tablet,Email,No,No
S000083,U00039,2026-04-05T21:30:14,/product/sku-220,Product,717,Mobile,Google,Yes,No
S000084,U00351,2026-04-12T08:29:01,/offers,Promotion,133,Mobile,Affiliate,Yes,No
S000085,U00339,2025-10-15T19:56:30,/support,Support,80,Mobile,Instagram,Yes,No
S000086,U00055,2025-12-03T17:27:42,/blog/how-to-buy,Content,380,Mobile,Email,Yes,No
S000087,U00334,2025-07-29T18:42:02,/checkout,Checkout,640,Mobile,Affiliate,No,No
S000088,U00166,2025-07-10T16:21:41,/offers,Promotion,98,Desktop,Email,Yes,No
S000089,U00173,2025-01-23T07:00:24,/support,Support,516,Mobile,Google,No,No
S000090,U00175,2025-08-06T05:12:43,/offers,Promotion,620,Mobile,Instagram,Yes,No
S000091,U00044,2025-07-07T11:12:10,/product/sku-220,Product,747,Mobile,Affiliate,Yes,No
S000092,U00230,2025-01-14T09:26:15,/blog/how-to-buy,Content,105,Desktop,Email,Yes,No
S000093,U00243,2026-03-06T21:29:01,/cart,Cart,553,Desktop,YouTube,No,No
S000094,U00139,2025-08-27T03:52:00,/blog/how-to-buy,Content,267,Desktop,YouTube,Yes,No
S000095,U00391,2026-06-21T01:34:52,/checkout,Checkout,199,Desktop,YouTube,No,No
S000096,U00306,2025-08-08T19:28:41,/checkout,Checkout,112,Mobile,Instagram,Yes,No
S000097,U00008,2026-02-19T20:59:59,/offers,Promotion,139,Desktop,Direct,No,No
S000098,U00327,2026-01-17T06:38:31,/product/sku-100,Product,115,Mobile,Affiliate,No,No
S000099,U00175,2025-05-24T04:47:16,/blog/how-to-buy,Content,62,Desktop,Email,Yes,No
S000100,U00252,2025-02-27T12:59:30,/support,Support,600,Mobile,Direct,Yes,Yes
S000101,U00044,2025-07-12T18:36:53,/offers,Promotion,131,Mobile,Email,Yes,No
S000102,U00231,2025-12-10T20:55:03,/support,Support,314,Mobile,Email,No,No
S000103,U00313,2025-03-19T01:50:52,/home,Landing,222,Mobile,Instagram,Yes,Yes
S000104,U00283,2025-02-28T07:18:38,/product/sku-100,Product,170,Desktop,Email,No,No
S000105,U00148,2025-08-08T14:15:08,/product/sku-220,Product,729,Mobile,Direct,Yes,No
S000106,U00218,2025-03-31T03:35:07,/product/sku-220,Product,567,Desktop,Google,No,No
S000107,U00031,2025-05-09T21:01:29,/search,Discovery,324,Mobile,Affiliate,No,No
S000108,U00353,2025-08-25T04:40:14,/blog/how-to-buy,Content,726,Mobile,Instagram,No,No
S000109,U00222,2025-09-08T08:30:35,/home,Landing,628,Desktop,Direct,Yes,No
S000110,U00392,2026-06-07T04:14:13,/home,Landing,285,Mobile,Google,No,No
S000111,U00143,2025-05-21T23:12:10,/blog/how-to-buy,Content,609,Mobile,Email,Yes,No
S000112,U00171,2025-09-07T08:57:34,/support,Support,696,Desktop,Google,No,No
S000113,U00148,2026-05-30T15:27:08,/blog/how-to-buy,Content,420,Mobile,Affiliate,Yes,No
S000114,U00130,2025-09-09T02:15:36,/cart,Cart,128,Tablet,Email,Yes,No
S000115,U00237,2025-11-17T23:29:35,/checkout,Checkout,65,Desktop,Instagram,No,No
S000116,U00105,2025-07-27T10:17:20,/home,Landing,572,Desktop,Instagram,No,No
S000117,U00063,2025-01-23T10:09:55,/blog/how-to-buy,Content,655,Mobile,Google,Yes,No
S000118,U00283,2025-11-13T21:29:51,/home,Landing,105,Desktop,Direct,No,No
S000119,U00256,2025-08-15T16:41:37,/product/sku-100,Product,531,Mobile,Email,No,No
S000120,U00234,2026-03-05T04:19:33,/product/sku-220,Product,158,Desktop,Affiliate,Yes,No
S000121,U00396,2025-11-19T07:05:14,/offers,Promotion,358,Tablet,Affiliate,No,No
S000122,U00372,2025-08-20T21:29:03,/offers,Promotion,611,Mobile,YouTube,No,No
