event_id,user_id,event_timestamp,country,city,region,latitude,longitude,store_visit,traffic_source
E000001,U00262,2026-03-04T13:40:21,UK,London,England,51.489979,-0.143582,No,Organic
E000002,U00089,2025-08-21T20:17:57,UK,London,England,51.519172,-0.121137,No,Organic
E000003,U00158,2025-07-27T01:56:47,India,Delhi,Delhi,28.592603,77.180919,No,Organic
E000004,U00220,2025-09-18T09:20:50,UK,London,England,51.474022,-0.150733,No,Referral
E000005,U00390,2025-01-09T08:57:31,Singapore,Singapore,Singapore,1.35936,103.814664,Yes,Social
E000006,U00390,2025-04-17T06:25:31,USA,New York,New York,40.699772,-74.033461,No,Referral
E000007,U00102,2026-02-05T13:40:28,India,Bengaluru,Karnataka,12.949687,77.591361,No,Direct
E000008,U00002,2026-04-08T15:09:49,India,Hyderabad,Telangana,17.341322,78.437909,No,Referral
E000009,U00380,2025-07-28T02:19:58,UAE,Dubai,Dubai,25.217382,55.252095,Yes,Email
E000010,U00309,2025-01-13T10:19:32,India,Hyderabad,Telangana,17.358446,78.514723,No,Organic
E000011,U00040,2025-07-23T09:14:32,Germany,Berlin,Berlin,52.548101,13.402696,No,Organic
E000012,U00211,2025-03-14T21:44:15,India,Hyderabad,Telangana,17.383873,78.501454,No,Email
E000013,U00142,2025-06-14T21:09:40,USA,New York,New York,40.758419,-74.003745,No,Email
E000014,U00334,2025-09-30T22:37:16,Singapore,Singapore,Singapore,1.310335,103.845044,No,Social
E000015,U00199,2025-07-01T15:05:40,Singapore,Singapore,Singapore,1.387008,103.782937,No,Organic
E000016,U00045,2026-02-08T11:34:14,UAE,Dubai,Dubai,25.220712,55.309027,No,Referral
E000017,U00077,2025-12-18T17:01:03,Germany,Berlin,Berlin,52.527125,13.448838,No,Direct
E000018,U00398,2026-02-06T14:00:39,India,Delhi,Delhi,28.621586,77.17,No,Organic
E000019,U00198,2025-01-16T20:54:53,UK,London,England,51.522181,-0.093837,No,Paid Search
E000020,U00018,2025-09-20T02:43:39,UAE,Dubai,Dubai,25.19599,55.30903,No,Paid Search
E000021,U00304,2026-01-31T12:06:08,India,Pune,Maharashtra,18.514821,73.898185,Yes,Organic
E000022,U00109,2025-01-18T06:49:44,Singapore,Singapore,Singapore,1.350405,103.813803,No,Email
E000023,U00377,2025-05-23T11:00:38,India,Mumbai,Maharashtra,19.080799,72.841264,No,Email
E000024,U00315,2025-01-13T12:57:31,Germany,Berlin,Berlin,52.534237,13.43261,No,Email
E000025,U00112,2026-01-26T05:04:02,USA,New York,New York,40.727504,-74.012909,No,Direct
E000026,U00242,2025-06-09T10:03:59,Germany,Berlin,Berlin,52.550834,13.359669,No,Paid Search
E000027,U00264,2026-06-23T17:37:55,India,Hyderabad,Telangana,17.402974,78.453616,No,Referral
E000028,U00162,2026-05-11T07:13:31,UK,London,England,51.555941,-0.175193,No,Organic
E000029,U00061,2026-06-24T09:50:46,India,Hyderabad,Telangana,17.3921,78.4506,No,Social
E000030,U00040,2026-02-28T08:44:55,USA,New York,New York,40.705059,-73.985984,No,Direct
E000031,U00096,2025-02-17T12:42:22,UK,London,England,51.460174,-0.138525,No,Email
E000032,U00008,2026-01-04T14:33:43,India,Delhi,Delhi,28.621688,77.255216,Yes,Referral
E000033,U00316,2025-03-04T05:01:30,Germany,Berlin,Berlin,52.487731,13.438698,No,Referral
E000034,U00288,2025-04-30T13:14:52,USA,New York,New York,40.755849,-74.006946,No,Social
E000035,U00047,2025-12-22T09:11:06,India,Pune,Maharashtra,18.547662,73.830038,No,Organic
E000036,U00313,2025-07-23T19:45:40,USA,New York,New York,40.705089,-73.972954,Yes,Referral
E000037,U00357,2026-04-05T07:43:10,India,Hyderabad,Telangana,17.350774,78.457325,No,Direct
E000038,U00395,2025-07-04T09:33:21,India,Pune,Maharashtra,18.567648,73.81541,No,Social
E000039,U00184,2026-03-16T07:11:24,Germany,Berlin,Berlin,52.539233,13.366295,No,Email
E000040,U00092,2025-02-19T07:54:03,UK,London,England,51.459878,-0.139562,No,Referral
E000041,U00311,2026-02-17T01:16:22,UK,London,England,51.476185,-0.140814,Yes,Social
E000042,U00398,2025-08-04T21:06:13,India,Pune,Maharashtra,18.526541,73.857963,No,Paid Search
E000043,U00356,2026-06-11T20:19:35,India,Bengaluru,Karnataka,12.991337,77.622881,No,Organic
E000044,U00242,2026-01-25T21:55:11,UK,London,England,51.529668,-0.166435,No,Organic
E000045,U00139,2026-05-31T05:14:58,Singapore,Singapore,Singapore,1.365502,103.865185,Yes,Organic
E000046,U00387,2025-02-10T05:42:57,UAE,Dubai,Dubai,25.243103,55.27357,Yes,Direct
E000047,U00371,2026-05-27T05:10:26,India,Hyderabad,Telangana,17.423248,78.494792,Yes,Direct
E000048,U00230,2025-02-06T00:36:39,USA,New York,New York,40.672115,-74.055853,Yes,Organic
E000049,U00153,2025-02-03T00:50:26,Germany,Berlin,Berlin,52.567733,13.396227,No,Organic
E000050,U00017,2026-02-07T00:24:58,India,Pune,Maharashtra,18.473509,73.86961,No,Organic
E000051,U00085,2026-04-12T12:42:32,UK,London,England,51.473133,-0.162578,No,Referral
E000052,U00154,2026-02-14T00:06:46,India,Delhi,Delhi,28.629028,77.236039,No,Organic
E000053,U00338,2026-03-27T01:47:54,India,Bengaluru,Karnataka,12.967364,77.596234,No,Referral
E000054,U00142,2025-03-10T23:40:29,India,Delhi,Delhi,28.628059,77.205693,Yes,Referral
E000055,U00058,2026-04-11T21:50:34,India,Bengaluru,Karnataka,12.963898,77.603834,No,Email
E000056,U00201,2025-04-13T20:42:21,India,Mumbai,Maharashtra,19.043149,72.874925,Yes,Organic
E000057,U00320,2025-04-04T05:50:10,USA,New York,New York,40.676147,-74.054326,No,Direct
E000058,U00345,2025-07-25T11:48:15,India,Delhi,Delhi,28.663327,77.201128,No,Paid Search
E000059,U00334,2025-05-23T19:46:46,UAE,Dubai,Dubai,25.235107,55.258949,No,Social
E000060,U00004,2025-03-05T02:06:22,USA,New York,New York,40.730847,-73.968496,Yes,Direct
E000061,U00074,2025-08-20T15:54:21,India,Hyderabad,Telangana,17.416051,78.529745,Yes,Social
E000062,U00047,2025-05-02T07:58:02,India,Pune,Maharashtra,18.511182,73.808557,No,Email
E000063,U00137,2026-03-19T15:15:45,UAE,Dubai,Dubai,25.179664,55.239064,No,Direct
E000064,U00390,2025-12-15T15:20:38,India,Bengaluru,Karnataka,12.946593,77.582272,Yes,Social
E000065,U00392,2026-06-20T17:02:52,India,Pune,Maharashtra,18.507943,73.819996,No,Social
E000066,U00131,2026-01-25T07:38:40,UAE,Dubai,Dubai,25.177031,55.29721,No,Direct
E000067,U00399,2025-08-05T05:24:16,USA,New York,New York,40.744315,-73.977023,No,Paid Search
E000068,U00262,2026-03-01T16:47:56,Singapore,Singapore,Singapore,1.384807,103.796998,Yes,Social
E000069,U00266,2025-10-14T22:50:10,Germany,Berlin,Berlin,52.515177,13.404841,No,Direct
E000070,U00066,2025-06-29T06:49:00,Singapore,Singapore,Singapore,1.343211,103.869706,No,Email
E000071,U00320,2026-02-15T20:08:55,Singapore,Singapore,Singapore,1.38278,103.830232,No,Referral
E000072,U00291,2026-01-12T09:38:00,India,Mumbai,Maharashtra,19.038935,72.885848,No,Direct
E000073,U00132,2025-05-25T11:12:10,India,Delhi,Delhi,28.577389,77.16405,No,Email
E000074,U00318,2025-04-11T01:12:31,India,Delhi,Delhi,28.580479,77.200073,Yes,Email
E000075,U00292,2026-03-30T03:29:33,Singapore,Singapore,Singapore,1.309367,103.81517,No,Paid Search
E000076,U00308,2026-05-26T13:02:23,UAE,Dubai,Dubai,25.192496,55.319327,No,Referral
E000077,U00127,2025-06-17T06:09:30,Germany,Berlin,Berlin,52.549113,13.428402,No,Referral
E000078,U00264,2025-12-27T09:25:29,UK,London,England,51.543716,-0.137618,No,Email
E000079,U00223,2025-01-10T14:21:24,Germany,Berlin,Berlin,52.488729,13.446636,No,Paid Search
E000080,U00414,2025-07-15T07:42:57,India,Hyderabad,Telangana,17.387519,78.441586,No,Paid Search
E000081,U00382,2025-05-28T06:23:19,India,Mumbai,Maharashtra,19.058737,72.888012,No,Referral
E000082,U00006,2025-01-23T18:46:07,India,Mumbai,Maharashtra,19.041476,72.840305,Yes,Organic
E000083,U00338,2026-06-27T11:01:45,India,Hyderabad,Telangana,17.364749,78.501937,No,Email
E000084,U00035,2025-08-25T20:51:36,India,Delhi,Delhi,28.647908,77.231438,No,Direct
E000085,U00375,2026-03-15T02:09:02,India,Pune,Maharashtra,18.555691,73.893772,Yes,Social
E000086,U00295,2026-01-21T00:37:56,India,Mumbai,Maharashtra,19.027668,72.879359,No,Direct
E000087,U00314,2026-02-24T13:03:17,USA,New York,New York,40.709808,-74.052683,No,Social
E000088,U00342,2026-06-26T14:30:59,Singapore,Singapore,Singapore,1.331812,103.844028,Yes,Organic
E000089,U00078,2025-02-13T04:40:04,UAE,Dubai,Dubai,25.216908,55.291742,No,Paid Search
E000090,U00249,2025-11-28T08:53:16,UAE,Dubai,Dubai,25.237965,55.223898,No,Organic
E000091,U00318,2025-11-08T05:11:37,Germany,Berlin,Berlin,52.564328,13.41087,Yes,Referral
E000092,U00018,2026-05-20T02:53:21,USA,New York,New York,40.754922,-73.9581,No,Social
E000093,U00044,2026-01-04T01:21:16,Singapore,Singapore,Singapore,1.355495,103.857735,No,Paid Search
E000094,U00052,2026-02-13T16:56:05,India,Bengaluru,Karnataka,12.966457,77.585449,No,Social
E000095,U00376,2026-05-14T14:54:49,UK,London,England,51.472494,-0.101152,No,Social
